id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Concrete;2020-11-23T13:45:29;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-11-23T01:38:11;75071;94375
2;program Unbranded;2020-11-23T13:54:29;Marketing Consultant Berkshire;ISSUED;CASH_ON_DELIVERY;2020-11-23T06:19:00;8068;31806
3;Indian Rupee Ngultrum;2020-11-23T15:52:40;program PNG parse;ISSUED;CASH_ON_DELIVERY;2020-11-23T13:19:01;92121;74564
4;transmitting EXE parse;2020-11-23T12:16:30;open architecture;PAID;PAYPAL;2020-11-23T19:20:34;99574;33894
5;attitude-oriented;2020-11-23T06:47:27;Integration structure;CANCELLED;PAYPAL;2020-11-23T08:54:57;72584;98923
6;SDD auxiliary Utah;2020-11-23T09:51:55;Intelligent Frozen Salad;CANCELLED;PAYPAL;2020-11-23T01:14:06;7073;6807
7;Customer;2020-11-23T20:18:59;Cotton Auto Loan Account;ISSUED;CASH_ON_DELIVERY;2020-11-23T00:35:31;32780;10756
8;Arizona Awesome Fresh Soap system;2020-11-23T06:32:40;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-11-23T06:21:43;50263;19746
9;applications Generic;2020-11-23T04:47:26;Assurance;ISSUED;CASH_ON_DELIVERY;2020-11-23T19:25:05;36970;88317
10;functionalities bifurcated;2020-11-23T14:32:50;Investment Account;PAID;CREDIT_CARD;2020-11-23T14:32:50;94911;93817
