id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-11-22T21:57:13;payment unleash Jamaican Dollar;1
2;Rest;2020-11-23T17:13:43;Plains;2
3;Quality Plastic plum;2020-11-22T21:34:05;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-11-23T18:01:17;Architect SSL;4
5;zero tolerance;2020-11-23T14:57:36;user-facing CSS;5
6;ADP Ouguiya;2020-11-23T10:54:04;Garden;6
7;auxiliary;2020-11-23T19:10:04;functionalities Bedfordshire withdrawal;7
8;Data;2020-11-22T22:08:05;Viaduct hybrid;8
9;mesh;2020-11-23T20:33:44;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-11-23T18:32:38;Re-engineered withdrawal Ball;10
